,antecedent,consequent,support,support_antecedent,confidence,lift,n_transactions,n_support_antecedent,n_confidence,str,html
0,frozenset({'Onde você costuma comprar vinhos? Supermercado'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Baixo'}),"0,2","0,28","0,71","1,35",125,35,25,"28% responderam que <b>Onde você costuma comprar vinhos? Supermercado</b>, dos quais 71% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>28%</span><span class='rule_ant_frac'>(35/125)</span> responderam que <span class='rule_ant_str'>Onde você costuma comprar vinhos? Supermercado</span>, dos quais <span class='rule_con_perc'>71%</span><span class='rule_con_frac'>(25/35)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</span>."
1,frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Baixo'}),frozenset({'Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas'}),"0,34","0,53","0,64","1,4",125,66,42,"53% responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</b>, dos quais 64% também responderam que <b>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>53%</span><span class='rule_ant_frac'>(66/125)</span> responderam que <span class='rule_ant_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</span>, dos quais <span class='rule_con_perc'>64%</span><span class='rule_con_frac'>(42/66)</span> também responderam que <span class='rule_con_str'>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</span>."
2,frozenset({'Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Baixo'}),"0,34","0,46","0,74","1,4",125,57,42,"46% responderam que <b>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</b>, dos quais 74% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>46%</span><span class='rule_ant_frac'>(57/125)</span> responderam que <span class='rule_ant_str'>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</span>, dos quais <span class='rule_con_perc'>74%</span><span class='rule_con_frac'>(42/57)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Baixo</span>."
3,frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante'}),"0,25","0,4","0,62","1,38",125,50,31,"40% responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>, dos quais 62% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>40%</span><span class='rule_ant_frac'>(50/125)</span> responderam que <span class='rule_ant_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>, dos quais <span class='rule_con_perc'>62%</span><span class='rule_con_frac'>(31/50)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</span>."
4,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),"0,25","0,45","0,55","1,38",125,56,31,"45% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</b>, dos quais 55% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>45%</span><span class='rule_ant_frac'>(56/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>55%</span><span class='rule_con_frac'>(31/56)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>."
5,frozenset({'Quais vinhos você consome? Seco'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),"0,31","0,6","0,52","1,3",125,75,39,"60% responderam que <b>Quais vinhos você consome? Seco</b>, dos quais 52% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>60%</span><span class='rule_ant_frac'>(75/125)</span> responderam que <span class='rule_ant_str'>Quais vinhos você consome? Seco</span>, dos quais <span class='rule_con_perc'>52%</span><span class='rule_con_frac'>(39/75)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>."
6,frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),frozenset({'Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas'}),"0,21","0,4","0,52","1,41",125,50,25,"40% responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>, dos quais 52% também responderam que <b>Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>40%</span><span class='rule_ant_frac'>(50/125)</span> responderam que <span class='rule_ant_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>, dos quais <span class='rule_con_perc'>52%</span><span class='rule_con_frac'>(25/50)</span> também responderam que <span class='rule_con_str'>Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas</span>."
7,frozenset({'Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas'}),frozenset({'Como você avalia o seu nível de conhecimento sobre vinhos? Médio'}),"0,21","0,37","0,57","1,41",125,46,26,"37% responderam que <b>Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas</b>, dos quais 57% também responderam que <b>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>37%</span><span class='rule_ant_frac'>(46/125)</span> responderam que <span class='rule_ant_str'>Qual sua média de consumo de vinhos ao mês? 3 - 5 garrafas</span>, dos quais <span class='rule_con_perc'>57%</span><span class='rule_con_frac'>(26/46)</span> também responderam que <span class='rule_con_str'>Como você avalia o seu nível de conhecimento sobre vinhos? Médio</span>."
8,frozenset({'Gênero? Feminino'}),frozenset({'Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas'}),"0,3","0,49","0,61","1,33",125,61,37,"49% responderam que <b>Gênero? Feminino</b>, dos quais 61% também responderam que <b>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>49%</span><span class='rule_ant_frac'>(61/125)</span> responderam que <span class='rule_ant_str'>Gênero? Feminino</span>, dos quais <span class='rule_con_perc'>61%</span><span class='rule_con_frac'>(37/61)</span> também responderam que <span class='rule_con_str'>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</span>."
9,frozenset({'Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas'}),frozenset({'Gênero? Feminino'}),"0,3","0,46","0,65","1,33",125,57,37,"46% responderam que <b>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</b>, dos quais 65% também responderam que <b>Gênero? Feminino</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>46%</span><span class='rule_ant_frac'>(57/125)</span> responderam que <span class='rule_ant_str'>Qual sua média de consumo de vinhos ao mês? 1 - 2 garrafas</span>, dos quais <span class='rule_con_perc'>65%</span><span class='rule_con_frac'>(37/57)</span> também responderam que <span class='rule_con_str'>Gênero? Feminino</span>."
10,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Serviço de entrega] Neutro'}),frozenset({'Gênero? Masculino'}),"0,2","0,3","0,68","1,32",125,37,25,"30% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Serviço de entrega] Neutro</b>, dos quais 68% também responderam que <b>Gênero? Masculino</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>30%</span><span class='rule_ant_frac'>(37/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Serviço de entrega] Neutro</span>, dos quais <span class='rule_con_perc'>68%</span><span class='rule_con_frac'>(25/37)</span> também responderam que <span class='rule_con_str'>Gênero? Masculino</span>."
11,"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})",frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Importante ou muito importante'}),"0,3","0,38","0,79","1,51",125,47,37,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>, dos quais 79% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(47/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>79%</span><span class='rule_con_frac'>(37/47)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Importante ou muito importante</span>."
12,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Importante ou muito importante'}),"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})","0,3","0,52","0,57","1,51",125,65,37,"52% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Importante ou muito importante</b>, dos quais 57% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>52%</span><span class='rule_ant_frac'>(65/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>57%</span><span class='rule_con_frac'>(37/65)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>."
13,"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})",frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [País de origem] Importante ou muito importante'}),"0,31","0,38","0,83","1,46",125,47,39,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>, dos quais 83% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [País de origem] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(47/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>83%</span><span class='rule_con_frac'>(39/47)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [País de origem] Importante ou muito importante</span>."
14,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [País de origem] Importante ou muito importante'}),"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})","0,31","0,57","0,55","1,46",125,71,39,"57% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [País de origem] Importante ou muito importante</b>, dos quais 55% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>57%</span><span class='rule_ant_frac'>(71/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [País de origem] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>55%</span><span class='rule_con_frac'>(39/71)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>."
15,"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})",frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Importante ou muito importante'}),"0,22","0,38","0,57","1,94",125,47,26,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>, dos quais 57% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(47/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>57%</span><span class='rule_con_frac'>(26/47)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Importante ou muito importante</span>."
16,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Importante ou muito importante'}),"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})","0,22","0,3","0,73","1,94",125,37,27,"30% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Importante ou muito importante</b>, dos quais 73% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>30%</span><span class='rule_ant_frac'>(37/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>73%</span><span class='rule_con_frac'>(27/37)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>."
17,"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})",frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Região dos país de origem] Importante ou muito importante'}),"0,27","0,38","0,72","1,56",125,47,34,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>, dos quais 72% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Região dos país de origem] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(47/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>72%</span><span class='rule_con_frac'>(34/47)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Região dos país de origem] Importante ou muito importante</span>."
18,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Região dos país de origem] Importante ou muito importante'}),"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})","0,27","0,46","0,59","1,56",125,58,34,"46% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Região dos país de origem] Importante ou muito importante</b>, dos quais 59% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>46%</span><span class='rule_ant_frac'>(58/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Região dos país de origem] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>59%</span><span class='rule_con_frac'>(34/58)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>."
19,"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})",frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Importante ou muito importante'}),"0,21","0,38","0,55","1,44",125,47,26,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>, dos quais 55% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(47/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>55%</span><span class='rule_con_frac'>(26/47)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Importante ou muito importante</span>."
20,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Importante ou muito importante'}),"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})","0,21","0,38","0,54","1,44",125,48,26,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Importante ou muito importante</b>, dos quais 54% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(48/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>54%</span><span class='rule_con_frac'>(26/48)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>."
21,"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})",frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante'}),"0,29","0,38","0,77","1,54",125,47,36,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>, dos quais 77% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(47/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>77%</span><span class='rule_con_frac'>(36/47)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante</span>."
22,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante'}),"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})","0,29","0,5","0,58","1,54",125,62,36,"50% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante</b>, dos quais 58% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>50%</span><span class='rule_ant_frac'>(62/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>58%</span><span class='rule_con_frac'>(36/62)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>."
23,"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})",frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante'}),"0,26","0,38","0,7","1,57",125,47,33,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>, dos quais 70% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(47/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>70%</span><span class='rule_con_frac'>(33/47)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</span>."
24,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante'}),"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})","0,26","0,45","0,59","1,57",125,56,33,"45% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</b>, dos quais 59% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>45%</span><span class='rule_ant_frac'>(56/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Tempo em barril de carvalho] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>59%</span><span class='rule_con_frac'>(33/56)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>."
25,"frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante'})",frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Teor alcoólico] Importante ou muito importante'}),"0,23","0,38","0,62","1,54",125,47,29,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</b>, dos quais 62% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Teor alcoólico] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(47/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Certificações (ex. DOC, Grand Vin, Grand Cru)] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>62%</span><span class='rule_con_frac'>(29/47)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Teor alcoólico] Importante ou muito importante</span>."
