,antecedent,consequent,support,support_antecedent,confidence,lift,n_transactions,n_support_antecedent,n_confidence,str,html
58,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Importante ou muito importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Importante ou muito importante'}),"0,21","0,38","0,54","1,88",125,48,26,"38% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Importante ou muito importante</b>, dos quais 54% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>38%</span><span class='rule_ant_frac'>(48/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>54%</span><span class='rule_con_frac'>(26/48)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Importante ou muito importante</span>."
59,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Importante ou muito importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante'}),"0,2","0,29","0,69","1,4",125,36,25,"29% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Importante ou muito importante</b>, dos quais 69% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>29%</span><span class='rule_ant_frac'>(36/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>69%</span><span class='rule_con_frac'>(25/36)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante</span>."
60,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Importante ou muito importante'}),"0,2","0,5","0,4","1,4",125,62,25,"50% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante</b>, dos quais 40% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Importante ou muito importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>50%</span><span class='rule_ant_frac'>(62/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Safra] Importante ou muito importante</span>, dos quais <span class='rule_con_perc'>40%</span><span class='rule_con_frac'>(25/62)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Importante ou muito importante</span>."
61,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Formato da garrafa] Nada ou pouco importante'}),"0,31","0,43","0,72","1,43",125,54,39,"43% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</b>, dos quais 72% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Formato da garrafa] Nada ou pouco importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>43%</span><span class='rule_ant_frac'>(54/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</span>, dos quais <span class='rule_con_perc'>72%</span><span class='rule_con_frac'>(39/54)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Formato da garrafa] Nada ou pouco importante</span>."
62,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Formato da garrafa] Nada ou pouco importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante'}),"0,31","0,5","0,62","1,43",125,63,39,"50% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Formato da garrafa] Nada ou pouco importante</b>, dos quais 62% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>50%</span><span class='rule_ant_frac'>(63/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Formato da garrafa] Nada ou pouco importante</span>, dos quais <span class='rule_con_perc'>62%</span><span class='rule_con_frac'>(39/63)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</span>."
63,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Nada ou pouco importante'}),"0,2","0,43","0,46","1,81",125,54,25,"43% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</b>, dos quais 46% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Nada ou pouco importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>43%</span><span class='rule_ant_frac'>(54/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</span>, dos quais <span class='rule_con_perc'>46%</span><span class='rule_con_frac'>(25/54)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Nada ou pouco importante</span>."
64,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Nada ou pouco importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante'}),"0,2","0,26","0,78","1,81",125,32,25,"26% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Nada ou pouco importante</b>, dos quais 78% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>26%</span><span class='rule_ant_frac'>(32/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Idade] Nada ou pouco importante</span>, dos quais <span class='rule_con_perc'>78%</span><span class='rule_con_frac'>(25/32)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</span>."
65,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Nada ou pouco importante'}),"0,22","0,43","0,52","1,51",125,54,27,"43% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</b>, dos quais 52% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Nada ou pouco importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>43%</span><span class='rule_ant_frac'>(54/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</span>, dos quais <span class='rule_con_perc'>52%</span><span class='rule_con_frac'>(27/54)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Nada ou pouco importante</span>."
66,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Nada ou pouco importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante'}),"0,22","0,34","0,65","1,51",125,43,28,"34% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Nada ou pouco importante</b>, dos quais 65% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>34%</span><span class='rule_ant_frac'>(43/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Prêmios/medalhas] Nada ou pouco importante</span>, dos quais <span class='rule_con_perc'>65%</span><span class='rule_con_frac'>(28/43)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</span>."
67,frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante'}),frozenset({'Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Nada ou pouco importante'}),"0,26","0,43","0,59","1,9",125,54,32,"43% responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</b>, dos quais 59% também responderam que <b>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Nada ou pouco importante</b>","<span class='rule_grupo'>Geral</span>: <span class='rule_ant_perc'>43%</span><span class='rule_ant_frac'>(54/125)</span> responderam que <span class='rule_ant_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Estacionamento] Nada ou pouco importante</span>, dos quais <span class='rule_con_perc'>59%</span><span class='rule_con_frac'>(32/54)</span> também responderam que <span class='rule_con_str'>Quais atributos  do vinho influenciam na hora de comprar? Assinale de acordo com o grau de importância. [Responsabilidade social da vinícola/estabelecimento] Nada ou pouco importante</span>."
